DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L233021551
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L233021551):null
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:8:L233021551
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L233021551):null
DEBUG | 2018-03-23 15:58:37,188 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(9):L300031246 
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:9:L1991313236
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1991313236):null
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:9:L1991313236
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L1991313236):null
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass3.InjectCodeTouchPointListener | Looking for jumps going to event(11):L500179317 
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:11:L736778932
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L736778932):null
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | Label found for eventId:11:L736778932
DEBUG | 2018-03-23 15:58:37,189 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | label2sourcePoints.get(L736778932):null
DEBUG | 2018-03-23 15:58:37,193 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | 
DEBUG | 2018-03-23 15:58:37,193 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | Writing instrumented class into:C:\Users\wangx\git\cxgm\cxgm-parent\cxgm-framework\cxgm-zuul\target\generated-classes\cobertura\com\cxgm\ZuulApplication.class
INFO | 2018-03-23 15:58:37,198 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 1 classes.
INFO | 2018-03-23 15:58:37,200 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 1 classes.
DEBUG | 2018-03-23 15:58:37,200 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.InstrumentMain | Instrument time: 133ms
